"source","title","priceCny","priceEur","monthlySales","repurchaseRate"
"1688","Cross-Border Round Neck Small Camisole Women's Suit Inner Wear Sleeveless Bottoming Shirt French Top 2025 Summer Summer","14.00CNY","1.82 EUR","222","30.56%"
"1688","2025 European and American Cross-Border Autumn and Winter Women's Clothing Amazon Furry Long-Sleeved Lapel Women's Plush Top Long Coat","48.00CNY","6.24 EUR","380","33.33%"
"1688","2026 Summer New European and American Style Round Neck Solid Color Tank Top with Built-In Bra, Sexy Women's Base Layer Top for Inner Wear or Outer Wear","16.50CNY","2.15 EUR","6969","44.44%"
"1688","Modal Small Camisole Women's Inner Wear Beautiful Back Summer Thin Sexy Outer Wear Pure Desire Style Base Black Top","5.70CNY","0.74 EUR","1599","9.71%"
"1688","Summer Fresh Cotton Camisole Design Sense Pleated Inner Lap with Chest Pad Outer Wear Slimming Beautiful Back Top for Women","11.00CNY","1.43 EUR","3443","8.67%"
"1688","Modal Round Neck Camisole Women's Summer Chest Pad Inner Base All-match Solid Color Sleeveless Large Size Thin Top","14.90CNY","1.94 EUR","363","14.41%"
"1688","Spring and Summer I-shaped Pure Cotton Vest Women's One-character Collar Hanging Neck Slimming Inner Thread Sleeveless Base Shirt Sling Top","19.90CNY","2.59 EUR","892","14.56%"
"1688","All-match anti-slip sleeveless thin bottoming camisole women's summer stretch slim-fit slimming Korean-style exterior wear","5.90CNY","0.77 EUR","10961","20.34%"
"1688","Tang Ge Silk Satin Beautiful Back Short Sling French Triangular Cup Mulberry Silk Underwear No Wires Silk Bra","59.00CNY","7.67 EUR","1741","23.47%"
"1688","Eyelash Lace Camisole Women's Summer All-match Silk Satin Suit Inner Top Silk Beautiful Back Base Shirt","17.95CNY","2.33 EUR","399","35.71%"
"1688","2025 Summer European and American New Style Solid Color Tank Top with Built-In Bra, Sexy Women's Undershirt for Layering or Wearing Alone","20.00CNY","2.60 EUR","8287","47.19%"
"1688","銆?A Antibacterial Lyocell銆慍ooling Camisole with Chest Pads for Women, Suitable for Outerwear, Plus Size, Inner Wear, Beautiful Back Design, White Top","39.00CNY","5.07 EUR","2484","5.51%"
"1688","Cross-Border Foreign Trade Pure Desire Polka Dot Hottie Halter Neck Camisole Women's Summer Sexy Tie-Up Slim Fit Top","20.90CNY","2.72 EUR","343","23.64%"
"1688","92 Cotton Blue Shoulder Short-sleeved T-shirt Women's Summer Slim-fit Slimming Western-style Pleated Waist Short T-shirt Top","15.50CNY","2.02 EUR","1694","11.15%"
"1688","American-Style Spicy Girl Tank Top for Women, Summer Slim-Fit Outerwear, New Sleeveless Racerback Inner Camisole Top","17.20CNY","2.24 EUR","306","6.15%"
"1688","One-Shoulder Ice Silk Without Breast Pad Small Camisole Women's Thin Inner Wear Beautiful Back Intimates Women's Anti-Exposure Wrapped Tube Top","6.50CNY","0.84 EUR","445","7.61%"
"1688","One-Shoulder Camisole for Outerwear, Sleeveless Top That Covers Side Breasts, Slim Fit, Beautiful Back, Sports Inner Wear, Fashionable Camisole","6.00CNY","0.78 EUR","7642","25.51%"
"1688","Women's Short-Sleeved Modal Bottoming Shirt with Breast Pads, Women's Spring and Summer All-In-One Pajamas, Five-Finger Half-Sleeved Women's Clothing","19.49CNY","2.53 EUR","1859","6.67%"
