店铺名,商品画像,商品名称,商品ID,MySKU,规格,商品链接,状态,单价（CNY）,数量,小计（CNY）,采购数,正品数,附加项,客户备注
媛翊电子商务,,新款70印花小方巾星星简约时尚职业小领巾仿真丝丝巾夏季防晒防尘,D000003521,,"颜色:星星粉色
长度(CM):70cm*70cm
",https://detail.1688.com/offer/613007901604.html,已入库,5,5,25,5,5,抽样详细,じーこ
鸭梨皮卡卡,,笑脸沙漏儿童刷牙三分钟沙漏2 3分钟计时器学生日礼物学习计时器,D000003527,,"颜色:蓝色
尺寸:【3分钟笑脸沙漏】
",https://detail.1688.com/offer/771217803833.html,已入库,0.89,10,8.9,10,10,抽样详细,じーこ
鸭梨皮卡卡,,笑脸沙漏儿童刷牙三分钟沙漏2 3分钟计时器学生日礼物学习计时器,D000003526,,"颜色:黄色
尺寸:【3分钟笑脸沙漏】
",https://detail.1688.com/offer/771217803833.html,已入库,0.89,10,8.9,10,10,抽样详细,"じーこ
"
派航箱包厂,,休闲手提包2025年夏季新款女包欧美时尚单肩斜跨包大容量复古邮差包,D000003531,,"颜色:红色
尺寸:1
",https://detail.1688.com/offer/915159608939.html,已入库,34,15,510,15,15,抽样详细,ゆま
桃喜眼镜厂,,新款眼镜网红眼镜框素颜时尚眼镜架男女通用款框架眼镜小红书同款,D000003518,,"镜框颜色:亮黑
镜片:96311无度数防蓝光
",https://detail.1688.com/offer/838310575680.html,没货没买,1.4,20,28,0,,抽样详细,じーこ
鸭梨皮卡卡,,笑脸沙漏儿童刷牙三分钟沙漏2 3分钟计时器学生日礼物学习计时器,D000003523,,"颜色:红色
尺寸:【3分钟笑脸沙漏】
",https://detail.1688.com/offer/771217803833.html,已入库,0.89,5,4.45,5,5,抽样详细,じーこ
远海皮具贸易,,工厂货源疯马皮男士钱包真皮横短款头层牛皮钱夹复古休闲皮夹批发,D000003529,,"颜色:黑色*横款
",https://detail.1688.com/offer/529512444212.html,已入库,27,10,270,10,10,抽样详细,じーこ
媛翊电子商务,,新款70印花小方巾星星简约时尚职业小领巾仿真丝丝巾夏季防晒防尘,D000003519,,"颜色:星星白色
长度(CM):70cm*70cm
",https://detail.1688.com/offer/613007901604.html,已入库,5,5,25,5,5,抽样详细,じーこ
鸭梨皮卡卡,,笑脸沙漏儿童刷牙三分钟沙漏2 3分钟计时器学生日礼物学习计时器,D000003528,,"颜色:绿色
尺寸:【3分钟笑脸沙漏】
",https://detail.1688.com/offer/771217803833.html,待入库,0.89,10,8.9,10,0,抽样详细,じーこ
西河旧家贸易,,新款跨境高颜值眼镜包男女带塔扣商务通勤皮革眼镜袋手拿防磨收纳,D000003530,,"颜色:棕色
",https://detail.1688.com/offer/906622804169.html,已入库,5.8,15,87,15,15,抽样详细,ゆま
媛翊电子商务,,新款70印花小方巾星星简约时尚职业小领巾仿真丝丝巾夏季防晒防尘,D000003522,,"颜色:星星黑色
长度(CM):70cm*70cm
",https://detail.1688.com/offer/613007901604.html,已入库,5,5,25,5,3,抽样详细,じーこ
鸭梨皮卡卡,,笑脸沙漏儿童刷牙三分钟沙漏2 3分钟计时器学生日礼物学习计时器,D000003525,,"颜色:粉色
尺寸:【3分钟笑脸沙漏】
",https://detail.1688.com/offer/771217803833.html,已入库,0.89,10,8.9,10,10,抽样详细,じーこ
鸭梨皮卡卡,,笑脸沙漏儿童刷牙三分钟沙漏2 3分钟计时器学生日礼物学习计时器,D000003524,,"颜色:橙色
尺寸:【3分钟笑脸沙漏】
",https://detail.1688.com/offer/771217803833.html,已入库,0.89,10,8.9,10,10,抽样详细,じーこ
派航箱包厂,,休闲手提包2025年夏季新款女包欧美时尚单肩斜跨包大容量复古邮差包,D000003532,,"颜色:黑色
尺寸:1
",https://detail.1688.com/offer/915159608939.html,已入库,34,5,170,4,2,抽样详细,ゆま
媛翊电子商务,,新款70印花小方巾星星简约时尚职业小领巾仿真丝丝巾夏季防晒防尘,D000003520,,"颜色:星星黄色
长度(CM):70cm*70cm
",https://detail.1688.com/offer/613007901604.html,已入库,5,5,25,5,5,抽样详细,じーこ
