INVOICE,,,,,,,,
,,,,,OCS NO：,,,
,,,,,DATE：,2026-04-23,,
Deliver to / 收件人,,,,,,,,
Company / 公司,,株式会社Cieze,,,,,,
Address / 地址,,"Tokyo-to, Patio Harajuku 103,3-15-22,JINGUMAE,SIBUYA-KU パティオ原宿 103",,,,,,
Name / 姓名,,"株式会社Cieze  /  Cieze Co., Ltd.",,,,,,
Zip code/邮编,,150-0001,,,,,,
Telphone/电话,,0368648887,,,,,,
CONSIGNEES STANDARD CODE,,,,,,,,
Importer / 进口商,,,,,,,,
Company / 公司,,,,,,,,
Address / 地址,,,,,,,,
Name / 姓名,,,,,,,,
Zip code / 邮编,,,,,,,,
Telphone / 电话,,,,,,,,
,,,,,,,,
NO. Of pkg,Description,,,Quantity,Unit Price,Amount,Number,SKU
0,物品内容(品名、原材料名、相应成分),,,物品数量,单价CNY,总价CNY,番号,
,,,,FOB,SHANGHAI,Currency(货币),,
,High heeled sandals,高跟凉鞋,Superfiber+rubber,16,41,656,1317294,SATK-201681
,High heeled sandals,高跟凉鞋,Superfiber+rubber,27,41,1107,1317295,SATK-201681
,High heeled sandals,高跟凉鞋,Superfiber+rubber,17,41,697,1317296,SATK-201681
,High heeled sandals,高跟凉鞋,Superfiber+rubber,44,41,1804,1317308,SATK-201681
,High heeled sandals,高跟凉鞋,Superfiber+rubber,18,41,738,1317309,SATK-201681
,shirt,衬衫,polyester,43,24.9,1070.7,1317315,MM-753
,sweater,毛衣,polyester,34,26,884,1319439,MM-737
Country Of Origin/货物原产地,,,,,Total Value  全部物品总价,CNY 6956.7,,
MADE IN CHINA,,,Shipper / 发货人：,Zhao ZheLong,,,,
,,,Company / 公司名称：,YIWU XIERUN IMPORT&EXPORT CO.LTD,,,,
,,,Address / 地址：,"502, Floor 5, Building 1, No. 633, Airport Road, Beiyuan Street, Yiwu City, Zhejiang Province",,,,
,,,Name / 姓名：,Zhao ZheLong,,,,
,,,Tel / 电话：,186-6173-9360,,,,
,,,Signed by / 签名：,Zhao ZheLong,,,,
