业务员,类型,一般会员,商务会员,VIP会员,合计,,类型,S级,A级,B级,C级,D级,合计
吴四佳,订单总数,,,,,,订单总数,,,,,,
,客户数,,,,,,客户数,,,,,,
,商品金额,,,,,,商品金额,,,,,,
,国内运费总额,,,,,,国内运费总额,,,,,,
,实际支出,,,,,,实际支出,,,,,,
,店铺退款总额,,,,,,店铺退款总额,,,,,,
,退换货运费总额,,,,,,退换货运费总额,,,,,,
,采购成本,,,,,,采购成本,,,,,,
,总差价,,,,,,总差价,,,,,,
,业绩差价,,,,,,业绩差价,,,,,,
,优惠总额,,,,,,优惠总额,,,,,,
,手续费,,,,,,手续费,,,,,,
,附加项费用,,,,,,附加项费用,,,,,,
,抽样详细总额,,,,,,抽样详细总额,,,,,,
,全数宽松总额,,,,,,全数宽松总额,,,,,,
,全数详细总额,,,,,,全数详细总额,,,,,,
,计时检品总额,,,,,,计时检品总额,,,,,,
,店铺其他费用,,,,,,店铺其他费用,,,,,,
,订单其他费用,,,,,,订单其他费用,,,,,,
,没货退款总额,,,,,,没货退款总额,,,,,,
,会员费,,,,,,会员费,,,,,,
,汇率收益,,,,,,汇率收益,,,,,,
,营销额总额,,,,,,营销额总额,,,,,,
,赔偿金,,,,,,赔偿金,,,,,,
,订单收入利益,,,,,,订单收入利益,,,,,,
订单清算记录导出该表格,,,,,,,,,,,,,
