INVOICE,,,,,,,,,,,,,
1) Seller/Exporter 发件人信息,,,,,,3) IMPORTER 进口商和收件人不是同一家时，请在这里填写进口商信息,,,,,,,
"Company：
公司：",YIWU XIERUN IMPORT&EXPORT CO.LTD,,,,,"Company：
公司：",,,法人番号：,,,,
"Address：
地址：","502, Floor 5, Building 1, No. 633, Airport Road, Beiyuan Street, Yiwu City, Zhejiang Province",,,,,"Address：
地址：",,,,,,,
"Contact：
联系人：",Zhao ZheLong,,,,,"Contact：
联系人：",,,,,,,
Zip Code：,322000,Tel 电话：,186-6173-9360,,,Zip Code：,,Tel 电话：,,,,,
2) DELIVER TO 收件人信息,,,,,,4) L/C lssuing Bank,,,,,,,
"Company：
公司：",株式会社Cieze,,,,,,,,,,,,
"Address：
地址：","Tokyo-to, Patio Harajuku 103,3-15-22,JINGUMAE,SIBUYA-KU パティオ原宿 103",,,,,,,,,,,,
"Contact：
联系人：","株式会社Cieze  /  Cieze Co., Ltd.",,,,,,,,,,,,
Zip Code：,150-0001,Tel 电话：,0368648887,,,5) Remarks,,,,,,,
,,,,,,,,,,,,,
CIF,,,,,,,,,,,,,
10) Name of Commodity,,,11) Description of Goods,,12) Quantity,,13)Unit Price,14)TOTAL Price,ASIN,FNSKU,装箱明細,商品番号,SKU
写真,具体中文品名,品名（英文/日文）,材质（英文/日文）,用途,箱数,PCS,单价 CNY,总价 CNY,,,,,
,高跟凉鞋,High heeled sandals,Superfiber+rubber,,0,0,41,,,,,1317308,SATK-201681
,毛衣,sweater,polyester,,,0,26,,,,,1319439,MM-737
,高跟凉鞋,High heeled sandals,Superfiber+rubber,,,0,41,,,,,1317294,SATK-201681
,高跟凉鞋,High heeled sandals,Superfiber+rubber,,,0,41,,,,,1317295,SATK-201681
,高跟凉鞋,High heeled sandals,Superfiber+rubber,,,0,41,,,,,1317296,SATK-201681
,高跟凉鞋,High heeled sandals,Superfiber+rubber,,,0,41,,,,,1317309,SATK-201681
,衬衫,shirt,polyester,,,0,24.9,,,,,1317315,MM-753
运费Freight,,,,,,,,,,,,,
MADE IN CHINA,,,,TOTAL,,,,￥ ,,,,,
,,,,,,,,,,,,,
箱号,件数,长,宽,高,单件重量,体积,重量,,,,,,
,,,,,,,,,,,,,
总计,,,,,,,,,,,,,
