箱番号,写真,商品名,規格,商品番号,SKU,数量,箱サイズ（cm）,重量（kg）,単価（元）
1,,,,1309225,rdhf-18-oy,4,58*50*45,19.2,19
,,,,1313708,bikini-2025-38-oy,4,,,38
,,,,1249019,slip-22-oy,5,,,22
,,,,1307730,slip2025--5-oy,5,,,4.6
,,,,1309063,doutei-30-oy,5,,,29.7
,,,,1309223,rdhf-18-oy,5,,,19
,,,,1309224,rdhf-18-oy,5,,,19
,,,,1312539,rsb22-oy,5,,,19
,,,,1313833,slip-22-oy,5,,,22
,,,,1313834,slip-22-oy,5,,,22
,,,,1313835,slip-22-oy,5,,,22
,,,,1313836,slip-22-oy,5,,,22
,,,,1314698,panie-30-oy,5,,,21
,,,,1314699,panie-30-oy,5,,,21
,,,,1314700,panie-30-oy,5,,,21
,,,,1314697,sukehf-11-oy,7,,,8.4
,,,,1309127,3waykb-32-oy,10,,,32
2,,,,1309237,cats-slippers-6-oy,1,58*50*45,16.5,5.2
,,,,1305852,rbd-14-oy,4,,,12
,,,,1309234,cats-slippers-6-oy,4,,,5.2
,,,,1303881,baggage-27-oy,5,,,27
,,,,1305866,5X-7TJK-Y4O6,5,,,30
,,,,1305867,5X-7TJK-Y4O6,5,,,30
,,,,1308564,Mesute-60-oy,5,,,60
,,,,1308565,Mesute-60-oy,5,,,60
,,,,1309226,SO-ED7O-B3M0,5,,,23
,,,,1309229,koutakus-10-oy,5,,,9.9
,,,,1314920,hobobag-26-oy,5,,,26
,,,,1309232,cats-slippers-6-oy,7,,,5.2
,,,,1309231,cats-slippers-6-oy,8,,,5.2
,,,,1309233,cats-slippers-6-oy,8,,,5.2
,,,,1309228,koutakus-10-oy,10,,,9.9
3,,,,1309235,cats-slippers-6-oy,5,50*35*23,4.5,5.2
3,,,,1309236,cats-slippers-6-oy,5,50*35*23,4.5,5.2
3,,,,1314693,Op-waist-slip-10-oy,5,50*35*23,4.5,10
3,,,,1313707,E9-L0VV-PSOX,7,50*35*23,4.5,26.5
