物流成本,,,,,,,,,,,,,,,
发货单号,客户ID和姓名,物流方式,物流单号,重量,不记抛重量,客户价,物流成本,利润,发货时间,业务员,采购员,汇率,实际重量,箱规重量,计费重量
A7182260418193,7182 / sakuradk-11637,LDX--快速船便,JBX1JUT27720-骏佳,189,0,1417.5,1044,373.5,2026/04/20 14:05:38,7182包瑞楠业务,7182专用采购,24.43,165.1,174,189
A7182260418192,7182 / sakuradk-11637,LDX--快速船便,JBX1JUT27721-骏佳,185,0,1387.5,1044,343.5,2026/04/20 14:32:32,7182包瑞楠业务,7182专用采购,24.43,161.6,174,185
A7182260420194,7182 / sakuradk-11637,LDX--快速船便,JBX1JUT27724-骏佳,140,0,1050,0,1050,2026/04/21 16:30:46,7182包瑞楠业务,7182专用采购,24.36,136.35,130.5,140
A7182260420195,7182 / sakuradk-11637,LDX--快速船便,JBX1JUT27723-骏佳,138,0,1035,0,1035,2026/04/21 16:46:38,7182包瑞楠业务,7182专用采购,24.36,122.8,130.5,138
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,长,宽,高,重量,总实重（KG）,体积重（KG）,半抛（KG）,全抛重（KG）,物流供应商,成本单价,物流成本(核),预警值,,,
A7182260418193,,,,,165.1,174,169.55,174,LDX--快速船便,5.52,961,,,,
,58,50,45,16.5,,,,,,,,,,,
,58,50,45,26.3,,,,,,,,,,,
,58,50,45,20,,,,,,,,,,,
,58,50,45,25.9,,,,,,,,,,,
,58,50,45,25.2,,,,,,,,,,,
,58,50,45,18.5,,,,,,,,,,,
,58,50,45,16.8,,,,,,,,,,,
,58,50,45,15.9,,,,,,,,,,,
A7182260418192,,,,,161.6,174,167.8,174,LDX--快速船便,5.64,982,,,,
,58,50,45,29.4,,,,,,,,,,,
,58,50,45,22,,,,,,,,,,,
,58,50,45,13.8,,,,,,,,,,,
,58,50,45,16.4,,,,,,,,,,,
,58,50,45,17.5,,,,,,,,,,,
,58,50,45,18.4,,,,,,,,,,,
,58,50,45,21.7,,,,,,,,,,,
,58,50,45,22.4,,,,,,,,,,,
A7182260420194,,,,,136.3,130.5,136.35,136.35,LDX--快速船便,,0,,,,
,58,50,45,20.3,,,,,,,,,,,
,58,50,45,21.7,,,,,,,,,,,
,58,50,45,22.5,,,,,,,,,,,
,58,50,45,22.85,,,,,,,,,,,
,58,50,45,23.2,,,,,,,,,,,
,58,50,45,25.8,,,,,,,,,,,
A7182260420195,,,,,122.8,130.5,126.65,130.5,LDX--快速船便,,0,,,,
,58,50,45,18.6,,,,,,,,,,,
,58,50,45,18,,,,,,,,,,,
,58,50,45,20.9,,,,,,,,,,,
,58,50,45,19.4,,,,,,,,,,,
,58,50,45,18.8,,,,,,,,,,,
,58,50,45,27.1,,,,,,,,,,,
